Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Tracy Flick Can't Win,Tom Perrotta,"Perrotta, Tom",,1501144065,9.7815E+12,5,3.63,259,2022,2022,7/8/23,9/26/22,,,read
The Queen of Dirt Island,Donal Ryan,"Ryan, Donal",,593652932,9.78059E+12,4,4.06,256,2023,2022,7/3/23,7/3/23,,,read
The Hunting Party,Lucy Foley,"Foley, Lucy",,8297126,9.78001E+12,4,3.6,406,2019,2018,7/1/23,7/1/23,,,read
"Another Man's Moccasins (Walt Longmire, #4)",Craig Johnson,"Johnson, Craig",,670018619,9.78067E+12,4,4.25,304,2008,2008,6/23/23,6/23/23,,,read
Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,"Jurek, Scott",Steve Friedman,547569653,9.78055E+12,4,4.03,272,2012,2012,6/14/23,6/14/23,,,read
The Elephant Vanishes,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Alfred Birnbaum",,,4,3.82,327,1994,1993,6/9/23,6/9/23,,,read
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1501139231,9.7815E+12,5,4.39,389,2017,2017,5/31/23,5/31/23,,,read
The Last Folk Hero: The Life and Myth of Bo Jackson,Jeff Pearlman,"Pearlman, Jeff",,358437679,9.78036E+12,5,4.19,496,2022,2022,5/27/23,5/27/23,,,read
"Wynd, Book Two: The Secret of the Wings",James Tynion IV,"IV, James Tynion","Michael Dialynas, AndWorld Design",1684158079,9.78168E+12,3,4.28,240,2022,2022,5/20/23,5/20/23,,,read
"Wynd, Book One: The Flight of the Prince",James Tynion IV,"IV, James Tynion","Michael Dialynas, Aditya Bidikar",1684156327,9.78168E+12,3,4.2,256,2021,2020,5/20/23,5/20/23,,,read
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,,,4,4.03,544,2018,2002,5/13/23,5/13/23,,,read
