Title,Author,ISBN,My Rating,Date Read,
Tracy Flick Can't Win,Tom Perrotta,1501144065,5,7/8/23,
The Queen of Dirt Island,Donal Ryan,593652932,4,7/3/23,
The Hunting Party,Lucy Foley,8297126,4,7/1/23,
"Another Man's Moccasins (Walt Longmire, #4)",Craig Johnson,670018619,4,6/23/23,
Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,547569653,4,6/14/23,
The Elephant Vanishes,Haruki Murakami,,4,6/9/23,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1501139231,5,5/31/23,
The Last Folk Hero: The Life and Myth of Bo Jackson,Jeff Pearlman,358437679,5,5/27/23,
"Wynd, Book Two: The Secret of the Wings",James Tynion IV,1684158079,3,5/20/23,
"Wynd, Book One: The Flight of the Prince",James Tynion IV,1684156327,3,5/20/23,
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,,4,5/13/23,
The Legends Begin (Darkmouth #1),Shane Hegarty,62311255,3,4/26/23,
"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,,5,4/23/23,
"Let's Explore Diabetes with Owls: Essays, Etc.",David Sedaris,316154695,4,4/17/23,
Lessons in Chemistry,Bonnie Garmus,,3,4/9/23,
The Nineties,Chuck Klosterman,735217955,4,4/8/23,
Under an Outlaw Moon,Dietrich Kalteis,1770415475,4,4/5/23,
The Song of Achilles,Madeline Miller,1408816032,4,3/26/23,
Number One Is Walking: My Life in the Movies and Other Diversions,Steve  Martin,1250815290,3,3/13/23,
"Tress of the Emerald Sea (Hoid's Travails, #1)",Brandon Sanderson,,4,3/11/23,
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,,4,3/2/23,
"The Unexpected Mrs. Pollifax (Mrs. Pollifax, #1)",Dorothy Gilman,449208281,4,2/26/23,
Potter's Field,Mark Waid,1934506605,5,2/19/23,
The Fifth Season (The Broken Earth #1),N.K. Jemisin,,4,2/17/23,
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,1405293187,4,2/16/23,
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,1416591052,4,2/6/23,
The Eighth Detective,Alex Pavesi,125075593X,3,2/2/23,
"Black Hammer, Vol. 1: Secret Origins",Jeff Lemire,1616557869,4,1/19/23,
The Silent Patient,Alex Michaelides,1250301696,3,1/8/23,
The Escapists,Brian K. Vaughan,1593078315,4,12/30/22,
"Superman: Earth One, Volume 3",J. Michael Straczynski,1401241840,4,12/29/22,
"Superman: Earth One, Volume 2",J. Michael Straczynski,1401231969,3,12/28/22,
"Superman: Earth One, Volume 1",J. Michael Straczynski,1401224687,3,12/27/22,
"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)",Christopher Moore,60842350,4,12/15/22,
Doctor Who: The Twelve Doctors of Christmas,Jacqueline Rayner,1405928956,3,12/12/22,
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,1529105102,2,12/4/22,
The Remarkable Journey of Coyote Sunrise (Coyote Sunrise #1),Dan Gemeinhart,,4,12/4/22,
Loki: Mistress Of Mischief,J. Michael Straczynski,1302932802,3,11/30/22,
"Becoming Superman: My Journey from Poverty to Hollywood with Stops Along the Way at Murder, Madness, Mayhem, Movie Stars, Cults, Slums, Sociopaths, and War Crimes",J. Michael Straczynski,62857843,5,11/29/22,
The Sleeper and the Spindle,Neil Gaiman,1408859645,4,11/14/22,
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,241512425,5,11/12/22,
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,1582346186,3,11/11/22,
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,,5,11/5/22,
The Paris Apartment,Lucy Foley,63003058,4,10/26/22,
Hark! A Vagrant,Kate Beaton,1770460608,4,10/20/22,
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,345476875,3,10/13/22,
The Winter People,Jennifer  McMahon,385538499,4,10/6/22,
Clockwork,Philip Pullman,043985623X,4,10/6/22,
Nothing But Blackened Teeth,Cassandra Khaw,1250759412,3,9/28/22,
Coraline,Neil Gaiman,61139378,4,9/25/22,
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,,3,9/21/22,
The Hellbound Heart,Clive Barker,61002828,4,9/19/22,
The Souvenir Museum,Elizabeth McCracken,006297128X,4,9/15/22,
"The Maid (Molly the Maid, #1)",Nita Prose,593356152,4,9/8/22,
The Old Woman with the Knife,Gu Byeong-mo,1335425764,3,8/31/22,
The Dog Who Could Fly: The Incredible True Story of a WWII Airman and the Four-Legged Hero Who Flew At His Side,Damien Lewis,1476739145,3,8/23/22,
The Magician's Assistant,Ann Patchett,,5,8/18/22,
"The Library of the Dead (Edinburgh Nights, #1)",T.L. Huchu,1250767768,4,8/15/22,
Blankets,Craig Thompson,1891830430,5,8/10/22,
McCay,Thierry Smolderen,1785868853,3,7/22/22,
The Bazaar of Bad Dreams,Stephen  King,1501111671,4,7/17/22,
Crying in H Mart,Michelle Zauner,525657746,4,7/12/22,
Pulp,Ed Brubaker,1534316442,4,7/1/22,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,067002581X,5,6/30/22,
Barbara the Slut and Other People,Lauren   Holmes,1594633789,4,6/13/22,
"My Sister, the Serial Killer",Oyinkan Braithwaite,385544235,3,6/6/22,
Artemis,Andy Weir,553448129,4,6/4/22,
"Fortunately, the Milk",Neil Gaiman,62224077,3,5/27/22,
You Can’t Be Serious,Kal Penn,1982171383,3,5/19/22,
"The Cruelest Month (Chief Inspector Armand Gamache, #3)",Louise Penny,755328949,3,5/7/22,
Rasco and the Rats of NIMH,Jane Leslie Conly,,3,4/26/22,
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,1476729085,4,4/25/22,
The Remains of the Day,Kazuo Ishiguro,,3,4/13/22,
Under the Dome,Stephen  King,1439148503,3,4/10/22,
Where the Crawdads Sing,Delia Owens,735219117,4,4/2/22,
"A Fatal Grace (Chief Inspector Armand Gamache, #2)",Louise Penny,312352565,4,3/21/22,
Born a Crime: Stories from a South African Childhood,Trevor Noah,385689225,4,3/19/22,
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,689862202,4,3/7/22,
"Neverwhere (London Below, #1)",Neil Gaiman,60557818,4,2/28/22,
Klara and the Sun,Kazuo Ishiguro,,4,2/18/22,
The Storyteller: Tales of Life and Music,Dave Grohl,63076098,4,2/8/22,
The Last Flight,Julie   Clark,1728215722,4,2/6/22,
Cloud Cuckoo Land,Anthony Doerr,1982168439,3,1/30/22,
"A Man With One of Those Faces (Dublin Trilogy publication order, #1; Dublin Trilogy chronological order, #6)",Caimh McDonnell,995507511,4,1/29/22,
"The Book of Magic (Practical Magic, #2)",Alice Hoffman,198215148X,3,1/18/22,
Wuthering Heights,Emily Brontë,,2,1/3/22,
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,316296619,5,11/30/21,
"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,385545134,5,11/15/21,
"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,,5,10/29/21,
"Lovecraft Country (Lovecraft Country, #1)",Matt Ruff,,5,10/9/21,
The Only Good Indians,Stephen Graham Jones,1982136456,5,9/27/21,
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,045122213X,5,8/12/21,
Motherless Brooklyn,Jonathan Lethem,345803396,5,6/23/21,
The Things They Carried,Tim O'Brien,767902890,5,5/6/21,
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,756404738,5,1/29/21,
Commonwealth,Ann Patchett,62491792,5,1/28/21,
The Lincoln Highway,Amor Towles,735222355,4,12/18/21,
A Christmas Carol,Charles Dickens,1561797464,4,12/10/21,
"Trejo: My Life of Crime, Redemption, and Hollywood",Danny Trejo,1982150823,4,11/26/21,
The Guest List,Lucy Foley,,4,10/28/21,
The Confidence Men: How Two Prisoners of War Engineered the Most Remarkable Escape in History,Margalit Fox,1984853848,4,10/23/21,
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,451528956,4,9/26/21,
"City of Ghosts (Cassidy Blake, #1)",Victoria Schwab,1338111035,4,9/20/21,
"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,006001234X,4,9/18/21,
"On the Far Side of the Mountain (Mountain, #2)",Jean Craighead George,141312416,4,9/14/21,
"The Escape (Snowpiercer, #1)",Jacques Lob,1782761438,4,9/1/21,
Transcendent Kingdom,Yaa Gyasi,,4,8/4/21,
Food Rules: An Eater's Manual,Michael Pollan,014311638X,4,7/27/21,
Code Talker: The First and Only Memoir By One of the Original Navajo Code Talkers of WWII,Chester Nez,425244237,4,6/13/21,
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,037571457X,4,5/29/21,
Almost Somewhere: Twenty-Eight Days on the John Muir Trail (Outdoor Lives),Suzanne   Roberts,803240120,4,5/29/21,
Interior Chinatown,Charles Yu,,4,4/22/21,
"The Hobbit, or There and Back Again",J.R.R. Tolkien,,4,4/21/21,
The Kite Runner,Khaled Hosseini,159463193X,4,4/19/21,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,744583276,4,4/11/21,
Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,385544413,4,4/6/21,
Code Name Hélène,Ariel Lawhon,385544685,4,3/19/21,
The Invisible Life of Addie LaRue,V.E. Schwab,765387565,4,2/22/21,
"The Midnight Library (The Midnight World, #1)",Matt Haig,525559485,4,2/7/21,
Presenting Design Work,Donna Spencer,1937557804,4,1/8/21,
Squeeze Me (Skink #8),Carl Hiaasen,,4,1/7/21,
"Strange Planet (Strange Planet, #1)",Nathan W. Pyle,62970704,4,1/5/21,
Dark Tales,Shirley Jackson,241295424,3,10/18/21,
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,1101885939,3,8/31/21,
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,747599874,3,8/17/21,
From a Buick 8,Stephen  King,743211375,3,5/22/21,
Mexican Gothic,Silvia Moreno-Garcia,525620788,3,5/14/21,
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,312948557,3,5/7/21,
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,1840187166,3,5/2/21,
The Natural,Bernard Malamud,374502005,3,4/12/21,
"Storm Front (The Dresden Files, #1)",Jim  Butcher,451457811,3,4/4/21,
A Reunion of Ghosts,Judith Claire Mitchell,62355880,3,3/27/21,
"Time and Again (Time, #1)",Jack Finney,575073608,3,3/10/21,
Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,1524746983,3,3/1/21,
