Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
The Escapists,Brian K. Vaughan,"Vaughan, Brian K.","Jason Alexander, Steve Rolston, Various",1593078315,9781593078317,4,,208,2007,2007,12/30/22,12/30/22,,,read
"Superman: Earth One, Volume 3",J. Michael Straczynski,"Straczynski, J. Michael",Ardian Syaf,1401241840,9781401241841,4,,136,2015,2015,12/29/22,12/30/22,,,read
"Superman: Earth One, Volume 2",J. Michael Straczynski,"Straczynski, J. Michael",Shane Davis,1401231969,9781401231965,3,,128,2012,2012,12/28/22,12/30/22,,,read
"Superman: Earth One, Volume 1",J. Michael Straczynski,"Straczynski, J. Michael","Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh",1401224687,9781401224684,3,,144,2010,2010,12/27/22,12/30/22,,,read
"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)",Christopher Moore,"Moore, Christopher",,0060842350,9780060842352,4,,306,2005,2004,12/15/22,9/25/07,,,read
Doctor Who: The Twelve Doctors of Christmas,Jacqueline Rayner,"Rayner, Jacqueline","Colin Brake, Richard Dungworth, Mike Tucker, Gary Russell, Scott Handcock, Rob Biddulph, Staffan Gnosspelius, Stewart Easton, Jennifer Skemp, Rohan Eason, Captain Kris, Ashling Lindsay, Tom Duxbury, Nick Harris, Melissa Castrillón, Sara Gianassi, Charlie Sutcliffe",1405928956,9781405928953,3,,318,2016,2016,12/12/22,12/12/22,,,read
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,1529105102,9781529105100,2,,128,2019,2019,12/4/22,12/5/22,,,read
The Remarkable Journey of Coyote Sunrise (Coyote Sunrise #1),Dan Gemeinhart,"Gemeinhart, Dan",,,9781250196705,4,,352,2019,2019,12/4/22,12/4/22,,,read
Loki: Mistress Of Mischief,J. Michael Straczynski,"Straczynski, J. Michael","Jason Aaron, Peter Milligan, Olivier Coipel, Russell Dauterman, Tonci Zonjic",1302932802,9781302932800,3,,200,2021,2021,11/30/22,11/30/22,,,read
"Becoming Superman: My Journey from Poverty to Hollywood with Stops Along the Way at Murder, Madness, Mayhem, Movie Stars, Cults, Slums, Sociopaths, and War Crimes",J. Michael Straczynski,"Straczynski, J. Michael",Neil Gaiman,0062857843,9780062857842,5,,460,2019,2019,11/29/22,11/29/22,,,read
The Sleeper and the Spindle,Neil Gaiman,"Gaiman, Neil",Chris Riddell,1408859645,9781408859643,4,,68,2014,2013,11/14/22,11/14/22,,,read
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,0241512425,9780241512425,5,,413,2022,2022,11/12/22,10/29/21,,,read
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,"Handler, Chelsea",,1582346186,9781582346182,3,,213,2005,2004,11/11/22,11/11/22,,,read
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"Housel, Morgan",,,,5,,242,2020,2020,11/5/22,11/5/22,,,read
The Paris Apartment,Lucy Foley,"Foley, Lucy",,0063003058,9780063003057,4,,360,2022,2022,10/26/22,10/26/22,,,read
Hark! A Vagrant,Kate Beaton,"Beaton, Kate",,1770460608,9781770460607,4,,166,2011,2011,10/20/22,10/20/22,,,read
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,0345476875,9780345476876,3,,346,2004,1976,10/13/22,10/13/22,,,read
The Winter People,Jennifer  McMahon,"McMahon, Jennifer",,0385538499,9780385538497,4,,317,2014,2014,10/6/22,10/6/22,,,read
Clockwork,Philip Pullman,"Pullman, Philip",Leonid Gore,043985623X,9780439856232,4,,144,2006,,10/6/22,10/6/22,,,read
